#Filename                      Shift
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00121_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00122_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00123_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00124_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00125_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00126_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00127_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00128_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00129_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00130_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00131_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00132_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00133_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00134_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00135_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00136_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00137_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00138_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00139_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00140_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00141_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00142_a_straight_es_ms.fits      0.0000000
